ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2014/03/28 12:10:34"
"Settings=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_setting.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=532	635"
"ImageFiles=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 2	C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 3"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=715, 1395"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4300 [122871]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=425	570"
"ScanPower=70	90"
"LaserPower=2.11	1.69"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,4400,14400"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"F532 CV"	"F635 CV"	"B532 CV"	"B635 CV"	"Index"
1	1	1	""	""	975	1720	145	1272	1361	435	391	402	391	135	98	97	0	2102	2420	1246	103	126	103	243	99	99	0	0.441	0.419	0.438	0.423	1.476	0.392	0.894	624	4911	100	0	0	0	2880	3287	-1.182	881	1999	970	2317	849252	1509976	7.104	9.440	31	51	33	192	1
1	2	1	""	""	1250	1725	145	1239	1397	669	376	390	376	154	98	98	0	2178	2543	1422	101	121	101	156	99	99	0	0.416	0.418	0.419	0.417	1.303	0.423	0.880	624	4831	100	0	0	0	2940	3463	-1.267	863	2077	1021	2442	871952	1587067	6.539	15.526	47	55	39	128	2
1	3	1	""	""	1520	1720	140	1132	1289	614	364	375	364	159	96	95	0	1722	2186	1526	98	118	98	161	97	97	0	0.473	0.443	0.460	0.458	1.381	0.422	0.905	624	4681	100	0	0	0	2392	3013	-1.080	768	1624	925	2088	804209	1364036	5.748	12.845	47	69	42	136	3
1	4	1	""	""	1870	1705	110	2659	2384	1093	404	448	404	614	81	74	0	4269	3829	2189	113	194	113	766	85	79	0	0.543	0.533	0.550	0.540	1.437	0.568	0.836	392	2896	100	0	0	0	6411	5696	-0.882	2255	4156	1980	3716	934482	1501076	3.153	4.745	45	57	137	394	4
1	5	1	""	""	2135	1700	110	2748	2530	1087	445	497	445	305	93	84	0	4824	4440	2395	122	239	122	636	88	83	0	0.490	0.483	0.491	0.493	1.497	0.431	0.857	392	2896	100	0	0	0	7005	6403	-1.030	2303	4702	2085	4318	991815	1740617	6.666	6.605	42	53	61	266	5
1	6	1	""	""	2395	1705	110	2993	2700	1107	449	481	449	478	86	82	0	4856	4466	2390	119	182	119	527	89	84	0	0.537	0.518	0.534	0.551	1.454	0.504	0.720	392	2896	100	0	0	0	7281	6598	-0.897	2544	4737	2251	4347	1058366	1750811	4.642	8.129	41	53	99	289	6
1	7	1	""	""	2670	1710	140	1986	2004	414	442	484	442	606	98	91	0	2985	3096	1076	108	199	108	1041	98	91	0	0.537	0.523	0.538	0.528	1.427	0.479	0.835	624	4687	100	0	0	0	4421	4550	-0.898	1544	2877	1562	2988	1250327	1931787	2.508	2.783	20	34	125	523	7
1	8	1	""	""	2945	1710	145	2142	2206	430	420	491	420	574	100	99	0	3432	3560	880	109	230	109	1203	100	96	0	0.518	0.518	0.522	0.520	1.310	0.439	0.848	624	4871	100	0	0	0	5045	5237	-0.948	1722	3323	1786	3451	1376704	2221733	2.988	2.768	19	24	116	523	8
1	9	1	""	""	3220	1710	145	2187	2208	857	401	494	401	772	93	71	0	3339	3431	1531	130	272	130	1353	92	71	0	0.557	0.547	0.557	0.556	1.448	0.532	0.767	624	4540	100	0	0	0	4995	5108	-0.845	1786	3209	1807	3301	1377655	2141113	2.220	2.335	38	44	156	497	9
1	10	1	""	""	3440	1715	150	2136	2132	593	384	450	384	952	92	33	0	2822	3090	2756	149	236	149	1144	94	75	0	0.655	0.594	0.655	0.626	1.449	0.340	0.504	716	4894	100	0	0	0	4425	4689	-0.609	1752	2673	1748	2941	1526575	2212378	1.767	2.495	27	89	211	484	10
