													Column	Row	Lectin									
													1	1	AAA 									
													2	1	AAA 									
													3	1	AAA 									
													4	1	AAL									
													5	1	AAL									
													6	1	AAL									
													7	1	AOL									
													8	1	AOL									
													9	1	AOL									
													10	1	UEA-I									
													11	1	UEA-I									
													12	1	UEA-I									
													13	1	PTL-II									
													14	1	PTL-II									
													15	1	PTL-II									
													1	2	TJA-II									
													2	2	TJA-II									
													3	2	TJA-II									
													4	2	PSA									
													5	2	PSA									
													6	2	PSA									
													7	2	CCA									
													8	2	CCA									
													9	2	CCA									
													10	2	LFA									
													11	2	LFA									
													12	2	LFA									
													13	2	LPA 									
													14	2	LPA 									
													15	2	LPA 									
													1	3	MAA new									
													2	3	MAA new									
													3	3	MAA new									
													4	3	MAL-I vector									
													5	3	MAL-I vector									
													6	3	MAL-I vector									
													7	3	MAL-II vector									
													8	3	MAL-II vector									
													9	3	MAL-II vector									
													10	3	SNA									
													11	3	SNA									
													12	3	SNA									
													13	3	TJA-I									
													14	3	TJA-I									
													15	3	TJA-I									
													1	4	PSL									
													2	4	PSL									
													3	4	PSL									
													4	4	PHA-L Vector									
													5	4	PHA-L Vector									
													6	4	PHA-L Vector									
													7	4	PHA-L EY									
													8	4	PHA-L EY									
													9	4	PHA-L EY									
													10	4	ECA									
													11	4	ECA									
													12	4	ECA									
													13	4	RCA (fridge)									
													14	4	RCA (fridge)									
													15	4	RCA (fridge)									
													1	5	PHA-E Vector									
													2	5	PHA-E Vector									
													3	5	PHA-E Vector									
													4	5	PHA-E EY									
													5	5	PHA-E EY									
													6	5	PHA-E EY									
													7	5	CA									
													8	5	CA									
													9	5	CA									
													10	5	BPA									
													11	5	BPA									
													12	5	BPA									
													13	5	APA old									
													14	5	APA old									
													15	5	APA old									
													1	6	GS-I Vector									
													2	6	GS-I Vector									
													3	6	GS-I Vector									
													4	6	GS-I EY									
													5	6	GS-I EY									
													6	6	GS-I EY									
													7	6	APP									
													8	6	APP									
													9	6	APP									
													10	6	BDA  new									
													11	6	BDA  new									
													12	6	BDA  new									
													13	6	Blackbean									
													14	6	Blackbean									
													15	6	Blackbean									
													1	7	CAA									
													2	7	CAA									
													3	7	CAA									
													4	7	CSA									
													5	7	CSA									
													6	7	CSA									
													7	7	IRA new									
													8	7	IRA new									
													9	7	IRA new									
													10	7	VVA									
													11	7	VVA									
													12	7	VVA									
													13	7	WFA									
													14	7	WFA									
													15	7	WFA									
													1	8	ASA									
													2	8	ASA									
													3	8	ASA									
													4	8	AMA new									
													5	8	AMA new									
													6	8	AMA new									
													7	8	Calsepa new									
													8	8	Calsepa new									
													9	8	Calsepa new									
													10	8	Con A new									
													11	8	Con A new									
													12	8	Con A new									
													13	8	CVN 									
													14	8	CVN 									
													15	8	CVN 									
													1	9	GNA old									
													2	9	GNA old									
													3	9	GNA old									
													4	9	GRFT new									
													5	9	GRFT new									
													6	9	GRFT new									
													7	9	HHL									
													8	9	HHL									
													9	9	HHL									
													10	9	NPA old									
													11	9	NPA old									
													12	9	NPA old									
													13	9	SVN									
													14	9	SVN									
													15	9	SVN									
													1	10	MNA-M 									
													2	10	MNA-M 									
													3	10	MNA-M 									
													4	10	PMA									
													5	10	PMA									
													6	10	PMA									
													7	10	TL									
													8	10	TL									
													9	10	TL									
													10	10	UDA									
													11	10	UDA									
													12	10	UDA									
													13	10	VVA (mann) 									
													14	10	VVA (mann) 									
													15	10	VVA (mann) 									
													1	11	VFA									
													2	11	VFA									
													3	11	VFA									
													4	11	LcH									
													5	11	LcH									
													6	11	LcH									
													7	11	"Jacalin, AIA"									
													8	11	"Jacalin, AIA"									
													9	11	"Jacalin, AIA"									
													10	11	EEL 									
													11	11	EEL 									
													12	11	EEL 									
													13	11	EEA									
													14	11	EEA									
													15	11	EEA									
													1	12	MPA (Vector)									
													2	12	MPA (Vector)									
													3	12	MPA (Vector)									
													4	12	GHA									
													5	12	GHA									
													6	12	GHA									
													7	12	PNA Vector									
													8	12	PNA Vector									
													9	12	PNA Vector									
													10	12	PNA EY									
													11	12	PNA EY									
													12	12	PNA EY									
													13	12	CF									
													14	12	CF									
													15	12	CF									
													1	13	NJAM									
													2	13	NJAM									
													3	13	NJAM									
													4	13	ACA									
													5	13	ACA									
													6	13	ACA									
